"","userid","artistid","prediction"
"448",556,"51","0.119518398212846"
"449",557,"51","0.477422127296522"
"450",558,"51","0.893101146406248"
"451",559,"51","0.239036796425692"
"452",560,"51","0.851626912998698"
"454",562,"51","0.358555194638538"
"455",565,"51","1.12460604312387"
"456",566,"51","0.993391044331908"
"458",568,"51","1.49339975282837"
"459",569,"51","0.396933842847221"
"461",571,"51","0.694634224982637"
"462",572,"51","0.793867685694443"
"465",575,"51","2.1810479113315"
"466",576,"51","0.187614543077702"
"467",577,"51","0.665557734120416"
"470",580,"51","0.237677849675455"
"471",581,"51","1.64696740024016"
"479",592,"51","0.77718893737755"
"481",594,"51","0.358555194638538"
"482",595,"51","0.441014321152757"
"483",596,"51","2.1060931436239"
"487",604,"51","0.893101146406248"
"488",605,"51","0.308572145316345"
"489",606,"51","1.0851580126528"
"490",609,"51","0.297700382135416"
"491",611,"51","0.239744277621067"
"495",616,"51","0.196006364956781"
"496",617,"51","0.657316798567017"
"497",620,"51","0.396933842847221"
"499",622,"51","0.470465905412951"
"500",623,"51","0.231429108987258"
"501",624,"51","0.359616416431601"
"502",625,"51","0.154286072658172"
"503",627,"51","0.245007956195976"
"504",628,"51","0.239744277621067"
"506",631,"51","0.722402075672242"
"507",632,"51","0.694634224982637"
"509",634,"51","0.217852285098392"
"510",635,"51","0.435698230967624"
"511",636,"51","0.297700382135416"
"512",637,"51","0.336360505528964"
"513",638,"51","0.198466921423611"
"514",640,"51","0.118838924837728"
"516",642,"51","0.239036796425692"
"518",644,"51","0.0594194624188638"
"521",647,"51","0.308572145316345"
"522",649,"51","0.108421053658059"
"523",650,"51","1.25667749261968"
"524",651,"51","1.02031572081573"
"525",652,"51","0.154286072658172"
"526",654,"51","0.239036796425692"
"528",656,"51","0.239744277621067"
"530",658,"51","0.926139121700255"
"531",659,"51","0.694634224982637"
"532",660,"51","0.416319206522002"
"534",665,"51","1.83004783964209"
"535",666,"51","0.599360694052668"
"536",667,"51","0.437503717849303"
"537",668,"51","0.196006364956781"
"540",673,"51","0.118838924837728"
"542",675,"51","0.694634224982637"
"543",676,"51","0.335681032153846"
"544",677,"51","0.0980031824783904"
"545",678,"51","0.396459441322946"
"546",679,"51","0.396933842847221"
"550",683,"51","0.359616416431601"
"551",684,"51","0.694634224982637"
"552",685,"51","0.939039111137516"
"553",686,"51","1.0788492492948"
"555",688,"51","0.796058912487841"
"556",689,"51","0.297700382135416"
"557",690,"51","0.793867685694443"
"561",694,"51","0.479488555242134"
"563",698,"51","0.496167303559027"
"564",699,"51","1.24201762546757"
"567",702,"51","0.396933842847221"
"568",703,"51","0.0992334607118053"
"571",706,"51","0.119872138810534"
"572",708,"51","0.0490015912391952"
"573",709,"51","0.147004773717586"
"574",710,"51","0.239744277621067"
"575",711,"51","0.245007956195976"
"576",713,"51","0.297700382135416"
"577",714,"51","0.359616416431601"
"578",715,"51","0.441014321152757"
"580",717,"51","0.496167303559027"
"581",718,"51","0.479488555242134"
"582",719,"51","0.0980031824783904"
"583",720,"51","0.0980031824783904"
"584",721,"51","0.178258387256591"
"585",722,"51","0.769072200603785"
"586",723,"51","0.198466921423611"
"587",725,"51","0.366958852030551"
"589",728,"51","1.07708054630636"
"590",729,"51","0.479488555242134"
"591",730,"51","1.6109190168787"
"592",731,"51","0.315855467576782"
"593",732,"51","0.893101146406248"
"596",735,"51","0.394473286380391"
"598",737,"51","0.556692269961436"
"599",738,"51","0.343011138674366"
"601",741,"51","0.358555194638538"
"603",743,"51","0.496167303559027"
"608",749,"51","0.694634224982637"
"609",751,"51","0.0594194624188638"
"611",753,"51","0.297700382135416"
"612",754,"51","0.417295183682283"
"613",756,"51","0.0771430363290862"
"616",759,"51","0.691023251219281"
"618",761,"51","0.975655858801161"
"619",762,"51","1.29599405319782"
"621",767,"51","1.0788492492948"
"623",769,"51","1.39468168068105"
"624",770,"51","0.198466921423611"
"626",772,"51","0.0490015912391952"
"627",773,"51","0.237677849675455"
"628",777,"51","0.934378502603705"
"629",778,"51","0.595400764270832"
"630",779,"51","2.35799961702066"
"634",785,"51","0.0980031824783904"
"636",788,"51","0.198466921423611"
"639",791,"51","0.316533573352466"
"641",793,"51","0.893101146406248"
"642",794,"51","0.239036796425692"
"643",795,"51","0.595400764270832"
"644",797,"51","0.0992334607118053"
"646",799,"51","0.239036796425692"
"647",800,"51","0.374264752213372"
"648",801,"51","0.0992334607118053"
"649",802,"51","0.119872138810534"
"650",804,"51","0.396933842847221"
"651",805,"51","0.239036796425692"
"654",808,"51","0.793867685694443"
"655",809,"51","0.0992334607118053"
"662",817,"51","0.596233044313993"
"663",818,"51","0.433684214632236"
"664",819,"51","0.396933842847221"
"665",821,"51","0.239744277621067"
"668",824,"51","0.0771430363290862"
"669",825,"51","0.0771430363290862"
"671",828,"51","0.216842107316118"
"673",830,"51","0.198466921423611"
"674",831,"51","1.91222558819826"
"675",832,"51","0.555599745197849"
"677",835,"51","0.108926142549196"
"678",836,"51","0.198466921423611"
"679",838,"51","0.394030350279239"
"681",840,"51","0.534775161769774"
"684",845,"51","0.196006364956781"
"687",850,"51","1.68337041552339"
"688",851,"51","0.496167303559027"
"689",852,"51","0.198466921423611"
"691",856,"51","0.178258387256591"
"692",858,"51","0.297700382135416"
"693",859,"51","1.78364775626299"
"694",860,"51","0.196006364956781"
"698",864,"51","0.591789790507475"
"699",865,"51","0.168873730049729"
"700",868,"51","0.217852285098392"
"701",869,"51","0.196006364956781"
"702",870,"51","0.0490015912391952"
"703",871,"51","0.196006364956781"
"704",873,"51","0.694634224982637"
"706",875,"51","0.198466921423611"
"707",877,"51","0.147004773717586"
"712",885,"51","0.595400764270832"
"713",886,"51","0.359616416431601"
"714",887,"51","0.239036796425692"
"716",890,"51","0.0490015912391952"
"717",893,"51","1.0788492492948"
"720",897,"51","0.119872138810534"
"721",898,"51","0.893101146406248"
"724",903,"51","0.245007956195976"
"725",904,"51","1.07708054630636"
"726",905,"51","0.198466921423611"
"727",906,"51","0.396933842847221"
"728",907,"51","0.719232832863201"
"729",909,"51","0.694634224982637"
"731",911,"51","0.297700382135416"
"732",912,"51","0.245007956195976"
"733",913,"51","0.231429108987258"
"734",914,"51","0.196006364956781"
"736",916,"51","0.297700382135416"
"737",917,"51","0.385715181645431"
"740",922,"51","0.359262675833913"
"742",925,"51","1.41326398780474"
"745",931,"51","0.0980031824783904"
"746",932,"51","0.980335282942762"
"747",933,"51","0.237677849675455"
"748",934,"51","0.216842107316118"
"749",935,"51","0.239744277621067"
"752",940,"51","0.154286072658172"
"757",950,"51","0.582755416295434"
"759",952,"51","0.416319206522002"
"761",954,"51","1.2444781819344"
"762",955,"51","1.33385731284201"
"765",959,"51","1.05624977557675"
"766",960,"51","0.119872138810534"
"768",963,"51","1.11095343150464"
"770",965,"51","0.595400764270832"
"771",966,"51","0.297700382135416"
"773",969,"51","0.198466921423611"
"778",977,"51","0.674763035213573"
"779",978,"51","0.147004773717586"
"781",982,"51","0.198466921423611"
"782",984,"51","0.793867685694443"
"783",985,"51","0.893101146406248"
"784",986,"51","0.0980031824783904"
"785",987,"51","0.198466921423611"
"786",989,"51","0.352752994081783"
"787",990,"51","0.385715181645431"
"788",991,"51","0.547608941742037"
"794",999,"51","0.358555194638538"
"795",1001,"51","0.437503717849303"
"796",1002,"51","0.359616416431601"
"797",1003,"51","1.08226746513335"
"798",1004,"51","0.0490015912391952"
"800",1006,"51","0.650453376217199"
"802",1010,"51","0.228798281359729"
"805",1014,"51","0.297700382135416"
"808",1017,"51","0.198466921423611"
"812",1021,"51","1.06947285886793"
"814",1023,"51","0.694634224982637"
"816",1025,"51","0.694236226792384"
"817",1026,"51","0.297700382135416"
"818",1027,"51","0.496167303559027"
"820",1029,"51","0.591045525418859"
"821",1033,"51","0.893101146406248"
"823",1036,"51","0.308572145316345"
"824",1038,"51","0.87400938715689"
"827",1041,"51","0.0490015912391952"
"828",1042,"51","0.198466921423611"
"829",1044,"51","0.358555194638538"
"830",1046,"51","0.198466921423611"
"832",1049,"51","0.376306776369017"
"833",1051,"51","0.245007956195976"
"835",1053,"51","0.198466921423611"
"842",1061,"51","0.147004773717586"
"843",1062,"51","0.118838924837728"
"845",1064,"51","0.0980031824783904"
"846",1065,"51","0.119872138810534"
"848",1068,"51","0.118838924837728"
"849",1069,"51","0.793867685694443"
"851",1071,"51","0.496167303559027"
"852",1072,"51","0.198466921423611"
"853",1073,"51","0.358555194638538"
"854",1074,"51","1.1142058800911"
"856",1078,"51","0.0980031824783904"
"858",1080,"51","0.396933842847221"
"862",1084,"51","0.479488555242134"
"865",1087,"51","0.239744277621067"
"867",1089,"51","0.937085117961593"
"869",1092,"51","0.595400764270832"
"871",1094,"51","1.07566558391561"
"872",1097,"51","0.694634224982637"
"873",1098,"51","0.298809999442243"
"874",1099,"51","0.947323633027556"
"876",1103,"51","0.479488555242134"
"877",1104,"51","0.396933842847221"
"878",1106,"51","0.793867685694443"
"880",1109,"51","0.297700382135416"
"885",1114,"51","0.718171611070139"
"887",1118,"51","0.479488555242134"
"889",1120,"51","0.198466921423611"
"892",1124,"51","0.595400764270832"
"893",1126,"51","0.216842107316118"
"895",1130,"51","0.239744277621067"
"897",1132,"51","0.893101146406248"
"900",1135,"51","0.496167303559027"
"902",1137,"51","0.297700382135416"
"904",1139,"51","0.297700382135416"
"907",1146,"51","0.525245349071198"
"909",1148,"51","0.584811137128943"
"910",1149,"51","0.239744277621067"
"912",1151,"51","0.358555194638538"
"914",1153,"51","0.954108765577413"
"915",1154,"51","0.31803643602371"
"917",1156,"51","0.839104971673735"
"920",1159,"51","0.196006364956781"
"923",1163,"51","1.04655709373936"
"924",1164,"51","0.719232832863201"
"925",1165,"51","1.73311480145717"
"926",1166,"51","0.239744277621067"
"928",1171,"51","0.198466921423611"
"929",1172,"51","0.993126499237684"
"930",1173,"51","1.31682482392743"
"931",1174,"51","0.196006364956781"
"936",1180,"51","0.198466921423611"
"939",1184,"51","0.694634224982637"
"940",1185,"51","0.694634224982637"
"941",1186,"51","0.396933842847221"
"943",1189,"51","0.496167303559027"
"944",1191,"51","0.438211199044678"
"945",1192,"51","1.18485840118955"
"947",1194,"51","0.996294536899889"
"948",1195,"51","0.195734699732728"
"949",1196,"51","0.297097312094319"
"952",1200,"51","0.872457683728311"
"953",1202,"51","1.64360325157502"
"954",1206,"51","0.147004773717586"
"955",1207,"51","0.147004773717586"
"956",1209,"51","0.457596562719459"
"957",1210,"51","3.78702277908601"
"958",1211,"51","0.239744277621067"
"959",1212,"51","0.178258387256591"
"960",1213,"51","0.239744277621067"
"964",1219,"51","1.08226746513335"
"965",1220,"51","0.595400764270832"
"966",1222,"51","0.93187187375581"
"967",1223,"51","0.599360694052668"
"968",1225,"51","0.936377636766218"
"969",1226,"51","0.297700382135416"
"970",1228,"51","0.178258387256591"
"971",1229,"51","0.657316798567017"
"972",1231,"51","1.35369862853737"
"973",1232,"51","0.719232832863201"
"974",1233,"51","0.893101146406248"
"975",1234,"51","0.686394844079188"
"976",1235,"51","0.430566139235293"
"977",1236,"51","0.534775161769774"
"978",1237,"51","0.297700382135416"
"979",1238,"51","0.154286072658172"
"980",1239,"51","0.154286072658172"
"981",1243,"51","0.178258387256591"
"982",1244,"51","0.308572145316345"
"984",1246,"51","1.06018337997979"
"985",1247,"51","0.893101146406248"
"987",1249,"51","0.359616416431601"
"990",1255,"51","1.35591095333149"
"991",1256,"51","1.07566558391561"
"992",1258,"51","0.21115342424173"
"995",1263,"51","0.297700382135416"
"996",1264,"51","0.610164976399982"
"997",1265,"51","0.308572145316345"
"998",1267,"51","0.343011138674366"
"1001",1272,"51","0.396933842847221"
"1002",1273,"51","0.359616416431601"
"1003",1274,"51","0.35787572126342"
"1004",1277,"51","0.415936236932047"
"1006",1280,"51","1.50552483043324"
"1007",1281,"51","0.0594194624188638"
"1008",1282,"51","1.03757189309735"
"1010",1286,"51","0.0978673498663639"
"1011",1288,"51","0.198466921423611"
"1013",1291,"51","0.395703564613806"
"1018",1298,"51","0.496167303559027"
"1019",1299,"51","0.296470103902001"
"1020",1300,"51","0.793867685694443"
"1021",1301,"51","0.893101146406248"
"1024",1305,"51","0.198466921423611"
"1026",1308,"51","0.893101146406248"
"1027",1309,"51","0.297097312094319"
"1031",1316,"51","0.416319206522002"
"1032",1318,"51","0.595400764270832"
"1033",1319,"51","0.393322869083864"
"1037",1324,"51","0.0980031824783904"
"1038",1327,"51","0.228798281359729"
"1039",1329,"51","0.59759199106423"
"1040",1332,"51","0.396933842847221"
"1041",1333,"51","0.231429108987258"
"1044",1336,"51","1.11255570194707"
"1045",1337,"51","0.876422398089356"
"1047",1340,"51","0.147004773717586"
"1049",1343,"51","0.316887313950153"
"1053",1350,"51","0.245007956195976"
"1056",1353,"51","0.147004773717586"
"1059",1356,"51","0.297700382135416"
"1063",1362,"51","0.0980031824783904"
"1066",1365,"51","0.396933842847221"
"1069",1368,"51","0.457619598909991"
"1072",1372,"51","0.598653212857293"
"1073",1373,"51","0.231429108987258"
"1075",1376,"51","0.119872138810534"
"1077",1379,"51","0.297700382135416"
"1079",1381,"51","0.287970471358874"
"1080",1383,"51","0.154286072658172"
"1081",1384,"51","0.385715181645431"
"1086",1389,"51","0.231429108987258"
"1088",1393,"51","0.359616416431601"
"1089",1394,"51","0.496167303559027"
"1090",1395,"51","0.308572145316345"
"1091",1396,"51","0.314845289794508"
"1093",1399,"51","0.0992334607118053"
"1094",1401,"51","0.543938616564807"
"1095",1402,"51","0.0490015912391952"
"1098",1407,"51","0.632359665509557"
"1099",1408,"51","0.108926142549196"
"1101",1411,"51","0.198466921423611"
"1102",1413,"51","0.198466921423611"
"1103",1414,"51","0.118838924837728"
"1104",1416,"51","0.237677849675455"
"1108",1422,"51","0.358555194638538"
"1109",1423,"51","0.297700382135416"
"1110",1424,"51","0.478073592851384"
"1113",1427,"51","1.28575553813186"
"1114",1428,"51","0.196006364956781"
"1117",1431,"51","0.496167303559027"
"1118",1432,"51","0.119872138810534"
"1119",1433,"51","0.651362991666189"
"1120",1434,"51","0.496167303559027"
"1121",1435,"51","0.198466921423611"
"1123",1439,"51","0.479488555242134"
"1127",1443,"51","0.0490015912391952"
"1129",1445,"51","0.496167303559027"
"1132",1449,"51","0.118838924837728"
"1136",1453,"51","0.297700382135416"
"1137",1454,"51","1.98097393488626"
"1138",1455,"51","0.396933842847221"
"1139",1456,"51","1.57969597699543"
"1141",1458,"51","0.198466921423611"
"1144",1462,"51","0.198466921423611"
"1145",1463,"51","0.239744277621067"
"1148",1466,"51","0.297700382135416"
"1150",1469,"51","0.317985319636457"
"1151",1470,"51","0.462858217974517"
"1152",1471,"51","0.535378231810871"
"1153",1472,"51","0.479488555242134"
"1161",1483,"51","0.239744277621067"
"1163",1485,"51","0.537444659756483"
"1164",1486,"51","0.471173386608326"
"1165",1488,"51","0.0490015912391952"
"1166",1489,"51","0.198466921423611"
"1167",1490,"51","0.196006364956781"
"1172",1496,"51","0.958977110484269"
"1173",1498,"51","1.19659894451921"
"1175",1500,"51","0.478781074046759"
"1177",1502,"51","0.239744277621067"
"1180",1505,"51","1.40562767694239"
"1181",1506,"51","0.231429108987258"
"1182",1508,"51","1.06338170942699"
"1184",1511,"51","0.198466921423611"
"1185",1513,"51","0.239744277621067"
"1186",1514,"51","1.31542790473809"
"1188",1516,"51","0.437503717849303"
"1190",1518,"51","0.478073592851384"
"1191",1519,"51","0.358555194638538"
"1192",1520,"51","0.385715181645431"
"1194",1524,"51","0.755489037485759"
"1197",1528,"51","0.198466921423611"
"1198",1530,"51","0.358555194638538"
"1199",1532,"51","0.793867685694443"
"1200",1533,"51","0.595400764270832"
"1201",1534,"51","0.196006364956781"
"1203",1536,"51","0.800630737584358"
"1205",1538,"51","0.0771430363290862"
"1208",1541,"51","0.458496136545719"
"1209",1542,"51","1.44543066387063"
"1210",1543,"51","0.0490015912391952"
"1211",1544,"51","0.198466921423611"
"1212",1545,"51","0.326778427647587"
"1213",1546,"51","1.00861804636481"
"1214",1547,"51","0.239036796425692"
"1217",1555,"51","0.396933842847221"
"1218",1558,"51","0.247468512662806"
"1220",1560,"51","0.595400764270832"
"1221",1562,"51","0.0980031824783904"
"1222",1563,"51","0.0992334607118053"
"1223",1564,"51","0.496167303559027"
"1224",1565,"51","0.595553570938875"
"1229",1572,"51","0.595400764270832"
"1231",1574,"51","0.59759199106423"
"1233",1577,"51","0.396933842847221"
"1234",1578,"51","0.198466921423611"
"1237",1583,"51","0.35787572126342"
"1239",1585,"51","3.11185856329425"
"1240",1586,"51","0.196006364956781"
"1241",1587,"51","0.793264615653346"
"1243",1589,"51","0.0980031824783904"
"1244",1590,"51","1.25271756283785"
"1246",1592,"51","0.45587890374181"
"1248",1594,"51","1.21332365150604"
"1249",1595,"51","1.31753230512281"
"1251",1600,"51","0.595400764270832"
"1252",1601,"51","0.239744277621067"
"1256",1606,"51","0.595400764270832"
"1258",1608,"51","0.297700382135416"
"1259",1611,"51","0.599360694052668"
"1263",1616,"51","0.297700382135416"
"1265",1619,"51","0.359616416431601"
"1267",1621,"51","0.0992334607118053"
"1270",1626,"51","0.838043749880673"
"1271",1627,"51","0.196006364956781"
"1273",1629,"51","1.17005757590691"
"1274",1630,"51","0.417295183682283"
"1276",1633,"51","0.793867685694443"
"1277",1635,"51","1.13443358077962"
"1278",1636,"51","0.0992334607118053"
"1279",1637,"51","0.297097312094319"
"1280",1639,"51","0.147004773717586"
"1281",1640,"51","0.245007956195976"
"1282",1641,"51","0.239036796425692"
"1283",1642,"51","1.65525672903173"
"1284",1643,"51","0.951257237430591"
"1287",1648,"51","0.913386083907289"
"1290",1652,"51","0.536737178561108"
"1291",1653,"51","1.23603881452096"
"1292",1654,"51","0.154286072658172"
"1293",1656,"51","0.462858217974517"
"1294",1657,"51","0.358555194638538"
"1296",1659,"51","0.396933842847221"
"1297",1660,"51","0.0980031824783904"
"1299",1662,"51","0.198466921423611"
"1300",1663,"51","0.396933842847221"
"1302",1666,"51","0.496167303559027"
"1303",1667,"51","0.0771430363290862"
"1304",1669,"51","0.239744277621067"
"1305",1672,"51","0.839104971673735"
"1306",1674,"51","0.239744277621067"
"1308",1676,"51","0.118838924837728"
