disp_id,client_id,account_id,type_disp,frequency,Creation_account,card_id,Type_card,issued_date,district_id,district_name,region,nbr_inhabitants,nbr_municipalities_inhabitants < 499,nbr_municipalities_inhabitants 500-1999,nbr_municipalities_inhabitants 2000-9999,nbr_municipalities_inhabitants  >10000,nbr_cities,ratio_urban_inhabitants,average_salary,unemploymant_rate95,unemploymant_rate96,nbr_enterpreneurs_1000inhabitants,nbr_crimes95,nbr_crimes96,client_age,gender,birthdate,Credits,Withdrawals,remittance_another_bank,collection_another_bank,credit_cash,withdrawal_cash,creditcard_withdrawal,Q1-1993,Q1-1994,Q1-1995,Q1-1996,Q1-1997,Q1-1998,Q2-1993,Q2-1994,Q2-1995,Q2-1996,Q2-1997,Q2-1998,Q3-1993,Q3-1994,Q3-1995,Q3-1996,Q3-1997,Q3-1998,Q4-1993,Q4-1994,Q4-1995,Q4-1996,Q4-1997,Q4-1998,Other,Leasing,Insurance_Pay,Household_Pay,Loan_Pay,nbr_Other,nbr_Leasing,nbr_Insurance_Pay,nbr_Household_Pay,nbr_Loan_Pay,loan_id,date,amount,duration,payments,status
26,26,20,OWNER,Monthly,1996-08-24,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,31.0,female,1969-04-20,86220.3,,48072.0,84140.0,500.0,20455.799999999996,,0,0,0,0,14,16,0,0,0,0,15,14,0,0,0,2,12,13,0,0,0,5,22,22,,,,2003.0,,,,,1.0,,,,,,,
27,27,21,OWNER,Monthly,1997-12-06,,,,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.60,1.96,140,18721,18696,34.0,female,1966-03-26,175831.5,,56484.0,,174017.5,66116.79999999999,,0,0,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,3,29,,,,6276.0,,,,,1.0,,,,,,,
28,28,22,OWNER,Monthly,1994-03-23,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,54.0,male,1945-09-29,1067603.2999999998,,330304.0,,1057631.0,701559.1999999993,,0,1,18,16,18,19,0,9,15,21,17,18,0,12,16,15,18,15,0,27,28,26,29,24,,,,6352.0,,,,,1.0,,,,,,,
29,29,23,OWNER,Monthly,1993-05-22,,,,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.38,3.67,100,2985,2804,48.0,female,1951-09-11,1639480.7999999998,,360034.0,,1624224.0,1196345.1999999997,,0,16,18,18,17,18,4,16,19,18,20,16,9,16,16,17,15,18,22,28,27,28,27,28,,,,5807.0,,,,,1.0,,,,,,,
30,30,24,OWNER,Monthly,1996-12-05,,,,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,42.0,female,1957-10-09,354856.6,,165102.0,,351967.5,168172.0000000001,,0,0,0,0,9,18,0,0,0,0,20,16,0,0,0,0,20,15,0,0,0,3,36,27,7641.0,,,221.0,,1.0,,,1.0,,,,,,,
31,31,25,OWNER,Monthly,1996-07-28,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,38.0,male,1962-02-09,1494372.1,1464172.9999999998,248735.40000000014,,1488172.0,1215437.6,,0,0,0,0,35,24,0,0,0,0,33,28,0,0,0,9,29,28,0,0,0,45,44,42,1110.0,,164.0,6817.0,2523.2,1.0,,1.0,1.0,1.0,4962.0,1997-12-08,30276.0,12.0,2523.0,A
32,32,26,OWNER,Monthly,1993-08-08,,,,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.52,3.49,108,2564,2799,19.0,male,1980-07-28,1761404.4000000006,1709633.000000001,623220.0,1748541.0,3300.0,1086412.999999999,,0,20,19,17,16,16,0,15,18,16,16,16,6,17,17,15,17,17,17,28,29,28,26,27,,,,10387.0,,,,,1.0,,,,,,,
33,33,27,OWNER,Monthly,1993-09-26,,,,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.33,3.74,90,4355,4433,51.0,female,1948-12-04,618575.3000000002,,235132.0,,612344.0,351246.7999999998,,0,13,23,23,22,19,0,15,17,16,16,16,1,16,16,15,17,17,10,27,27,26,29,26,,,,4054.0,,,,,1.0,,,,,,,
36,36,29,OWNER,Monthly,1994-11-24,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,21.0,female,1978-07-17,961743.2999999999,,339989.0,,955223.0,584202.3999999994,,0,0,9,27,26,28,0,0,21,23,24,25,0,0,23,21,21,23,0,4,40,39,36,36,829.0,,8.0,6871.0,,1.0,,1.0,1.0,,,,,,,
37,37,29,DISPONENT,Monthly,1994-11-24,,,,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.26,2.87,130,4289,4846,29.0,male,1970-08-10,961743.2999999999,,339989.0,,955223.0,584202.3999999994,,0,0,9,27,26,28,0,0,21,23,24,25,0,0,23,21,21,23,0,4,40,39,36,36,829.0,,8.0,6871.0,,1.0,,1.0,1.0,,,,,,,
38,38,30,OWNER,Monthly,1995-03-04,,,,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,26.0,female,1973-07-23,2302979.4000000004,2258823.8000000007,,,2294752.0,2258823.8000000017,,0,0,1,17,19,14,0,0,28,14,13,13,0,0,23,17,17,24,0,0,36,29,40,37,,2480.2,,,,,1.0,,,,,,,,,
39,39,31,OWNER,Monthly,1994-04-27,,,,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,32.0,male,1968-01-25,2910488.100000001,2897189.400000003,540706.0,,2898893.0,2356483.400000003,,0,0,30,28,20,18,0,11,30,23,22,16,0,27,17,21,18,16,0,39,31,33,26,18,,,,10202.0,,,,,1.0,,,,,,,
40,40,32,OWNER,Monthly,1995-08-28,,,,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.85,4.43,118,2616,3040,43.0,female,1957-01-22,734330.7000000001,,,,725738.0,644610.9999999995,,0,0,0,13,14,13,0,0,0,13,16,17,0,0,4,13,13,14,0,0,13,22,24,23,,,,,,,,,,,,,,,,
41,41,33,OWNER,Monthly,1993-08-26,3.0,gold,1995-09-03,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.10,1.25,100,1089,1117,31.0,male,1968-08-27,1672195.3999999997,,229628.0,,1652341.0,1268761.4000000004,61400.0,0,17,16,15,16,17,0,17,15,17,16,16,4,16,17,17,15,16,13,29,30,29,30,25,,,,3892.0,,,,,1.0,,,,,,,
42,42,34,OWNER,Weekly,1993-09-17,4.0,classic,1998-11-26,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.09,4.72,96,5623,5887,64.0,male,1935-08-17,2196372.4999999995,2146258.0,387246.0,2181388.0,600.0,1755112.0,3900.0,0,15,19,19,20,20,0,23,21,21,20,19,1,19,19,19,19,21,10,32,31,36,33,35,6070.0,1479.0,,502.0,,1.0,1.0,,1.0,,,,,,,
43,43,35,OWNER,Monthly,1993-07-07,,,,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.38,5.66,99,4063,4505,79.0,male,1920-10-28,359352.10000000003,,145424.0,353990.0,600.0,193186.00000000023,,0,24,22,21,19,17,0,19,20,18,18,16,3,16,16,19,17,17,9,30,30,30,30,27,,,,2384.0,,,,,2.0,,,,,,,
44,44,36,OWNER,Monthly,1993-07-01,,,,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.08,8.23,104,2653,2822,23.0,female,1977-01-11,1436075.6,,252278.0,,1423918.0,1104650.5999999992,,0,22,22,22,23,23,0,16,20,15,17,16,10,18,15,16,15,16,20,28,26,31,28,27,,,,4069.0,,,,,1.0,,,,,,,
45,45,37,OWNER,Monthly,1997-08-18,,,,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,47.0,male,1952-08-26,497029.19999999995,451124.6999999999,75279.5,,494494.0,375845.1999999999,,0,0,0,0,0,30,0,0,0,0,0,25,0,0,0,0,9,26,0,0,0,0,29,38,2584.0,,97.0,2317.0,5307.5,1.0,,1.0,1.0,1.0,4967.0,1998-10-14,318480.0,60.0,5308.0,D
46,46,38,OWNER,Weekly,1997-08-08,,,,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.13,3.98,120,999,1099,60.0,female,1940-01-30,308265.30000000005,263684.3999999999,107005.40000000002,256060.0,49700.0,156679.0,,0,0,0,0,0,30,0,0,0,0,0,27,0,0,0,0,6,27,0,0,0,0,19,45,231.0,,228.0,6901.0,2306.8,1.0,,1.0,1.0,1.0,4968.0,1998-04-19,110736.0,48.0,2307.0,C
47,47,39,OWNER,Monthly,1993-09-22,,,,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.73,5.88,107,3736,2807,66.0,male,1934-07-14,414927.70000000007,,183785.0,407862.0,1100.0,214826.80000000022,,0,16,23,22,26,24,0,22,21,16,18,21,1,18,18,18,19,18,4,30,33,31,31,29,,,,3115.0,,,,,2.0,,,,,,,
48,48,40,OWNER,Monthly,1993-10-25,,,,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,60.0,male,1940-02-09,464908.70000000007,,251372.0,,459285.0,189832.20000000024,,0,13,25,22,15,20,0,19,19,18,16,17,0,19,18,17,15,15,7,32,32,27,26,28,4301.0,,,33.0,,1.0,,,1.0,,,,,,,
49,49,41,OWNER,Monthly,1997-08-02,,,,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.80,4.79,110,9672,9208,41.0,female,1959-05-11,327942.9,,,,324202.0,227175.20000000007,,0,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,6,12,0,0,0,0,17,22,,,,,,,,,,,,,,,,
50,50,42,OWNER,Monthly,1996-08-16,,,,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.34,9.4,90,4947,4743,21.0,female,1978-07-30,310489.19999999995,,143849.0,,307233.0,140655.80000000005,,0,0,0,0,22,29,0,0,0,0,21,23,0,0,0,4,21,22,0,0,0,13,40,36,239.0,,1592.0,4239.0,,1.0,,1.0,1.0,,,,,,,
51,51,43,OWNER,Monthly,1994-06-12,5.0,junior,1995-04-24,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.33,4.28,131,5796,6132,20.0,female,1979-12-02,1451226.6999999997,,329450.0,,1436880.0,988009.9999999992,73000.0,0,0,23,24,22,23,0,3,17,18,16,17,0,9,16,16,18,15,0,22,28,28,27,27,,,,6589.0,,,,,1.0,,,,,,,
52,52,44,OWNER,Monthly,1993-05-10,,,,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.80,3.22,118,4340,4505,75.0,male,1924-12-12,286630.1999999999,,147672.0,281400.0,400.0,115115.2000000001,,0,18,17,16,19,19,2,14,15,13,14,14,3,14,15,12,13,12,17,26,23,21,23,22,,,,2344.0,,,,,1.0,,,,,,,
53,53,45,OWNER,Monthly,1997-09-02,,,,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.60,2.31,145,4484,4265,23.0,male,1977-05-05,79639.3,,,,77931.0,53760.59999999999,,0,0,0,0,0,17,0,0,0,0,0,14,0,0,0,0,3,13,0,0,0,0,13,20,,,,,,,,,,,,,,,,
55,55,47,OWNER,Monthly,1993-08-08,,,,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.28,2.89,132,2080,2122,51.0,female,1948-09-18,2506324.4,2427569.0000000023,442789.0,2485624.0,8500.0,1984780.0000000023,,0,30,34,31,32,28,0,25,28,27,28,24,6,24,28,24,26,26,20,46,44,42,44,38,183.0,,141.0,6940.0,,2.0,,1.0,1.0,,,,,,,
56,56,48,OWNER,Monthly,1996-11-17,7.0,classic,1998-06-11,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,40.0,male,1960-03-31,634067.7,,145940.0,,628885.0,412011.9999999999,5200.0,0,0,0,0,9,21,0,0,0,0,19,21,0,0,0,0,18,18,0,0,0,4,33,32,1029.0,,,6268.0,,1.0,,,1.0,,,,,,,
57,57,48,DISPONENT,Monthly,1996-11-17,,,,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,38.0,female,1961-12-17,634067.7,,145940.0,,628885.0,412011.9999999999,5200.0,0,0,0,0,9,21,0,0,0,0,19,21,0,0,0,0,18,18,0,0,0,4,33,32,1029.0,,,6268.0,,1.0,,,1.0,,,,,,,
58,58,49,OWNER,Monthly,1997-04-06,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,73.0,female,1927-04-29,99236.2,,49632.0,97734.0,300.0,34293.599999999984,,0,0,0,0,0,17,0,0,0,0,7,15,0,0,0,0,10,15,0,0,0,0,24,23,,,,3102.0,,,,,1.0,,,,,,,
59,59,50,OWNER,Monthly,1994-05-06,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,43.0,male,1957-02-18,1001516.5999999997,,371943.0,,992330.0,543444.5999999994,,0,0,26,27,30,25,0,6,22,20,20,18,0,10,19,19,18,19,0,28,32,33,31,31,7024.0,,,269.0,,1.0,,,1.0,,,,,,,
60,60,51,OWNER,Monthly,1996-05-11,8.0,junior,1998-05-20,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.77,6.55,109,3244,3079,20.0,male,1980-02-19,710282.2999999997,,109480.0,,702325.0,489479.59999999974,13100.0,0,0,0,0,19,21,0,0,0,4,21,22,0,0,0,9,20,20,0,0,0,24,34,30,2057.0,,,2074.0,,1.0,,,1.0,,,,,,,
61,61,52,OWNER,Monthly,1997-01-29,,,,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,51.0,female,1948-08-06,642931.6,621771.7999999998,81377.0,638250.0,1100.0,540394.7999999998,,0,0,0,0,7,24,0,0,0,0,13,19,0,0,0,0,19,21,0,0,0,0,32,36,3723.0,,,560.0,,1.0,,,1.0,,,,,,,
62,62,53,OWNER,Monthly,1995-06-07,,,,77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.01,5.56,113,3460,3590,67.0,male,1932-12-08,187624.0,,111189.0,183911.0,700.0,61304.79999999997,,0,0,0,14,19,18,0,0,3,14,14,13,0,0,6,12,13,14,0,0,20,21,21,24,,,,2851.0,,,,,1.0,,,,,,,
63,63,54,OWNER,Monthly,1995-05-02,,,,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.64,5.05,109,5244,5892,41.0,male,1959-06-04,154795.2,,91200.0,150524.0,1000.0,36779.399999999965,,0,0,0,20,19,19,0,0,5,15,14,14,0,0,8,12,13,13,0,0,20,23,23,23,,,,2280.0,,,,,1.0,,,,,,,
64,64,55,OWNER,Monthly,1996-02-19,,,,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.65,3.64,120,1563,1542,74.0,male,1926-04-22,159865.69999999998,,89494.0,157386.0,300.0,49383.39999999997,,0,0,0,2,20,18,0,0,0,3,14,13,0,0,0,13,12,13,0,0,0,22,23,22,,,,3086.0,,,,,1.0,,,,,,,
65,65,56,OWNER,Monthly,1994-05-16,,,,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,57.0,female,1943-05-27,909738.4,,412080.0,,902185.0,440089.9999999996,,0,0,15,17,16,18,0,4,15,16,17,19,0,9,15,15,16,16,0,23,27,29,28,26,,,,8080.0,,,,,1.0,,,,,,,
66,66,57,OWNER,Monthly,1995-05-21,,,,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,48.0,female,1951-11-10,1009432.7,,160173.0,,1002176.0,786254.7999999993,,0,0,0,23,23,23,0,0,4,17,17,17,0,0,9,18,15,17,0,0,26,31,28,28,,,,4107.0,,,,,1.0,,,,,,,
67,67,58,OWNER,Monthly,1996-08-23,,,,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.82,3.6,113,818,888,67.0,female,1932-11-11,164368.6,,,162512.0,600.0,153112.90000000005,,0,0,0,0,21,21,0,0,0,0,14,16,0,0,0,2,15,12,0,0,0,7,28,21,,,,,,,,,,,,,,,,
